"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000213985",408.247151680337,-5.16316966808897,0.222923500097736,-23.1611726257002,1.1218264388243e-118,1.27859885075494e-116
"ENSG00000259781",1749.33729276662,-3.07774071003937,0.134338528318221,-22.9103351701816,3.66513917523458e-116,4.15634149585522e-114
"ENSG00000197258",2224.69932141904,-6.99276357400339,0.305475713026368,-22.8913896451067,5.66076663505396e-116,6.38732603266314e-114
"ENSG00000226049",707.718273872299,-7.46764705357572,0.326335177781018,-22.8833652085978,6.80438268631e-116,7.63952756626655e-114
"ENSG00000235105",224.91133102518,-6.58488596881301,0.289069661260863,-22.7795817108274,7.30851688240082e-115,8.16491586560096e-113
"ENSG00000220472",5832.53816142538,-13.4356369370791,0.592002472955091,-22.6952378594174,4.99237250819899e-114,5.54989509322791e-112
"ENSG00000213740",952.19738443798,-9.65065943734171,0.425825231841325,-22.6634278941409,1.02855215986201e-113,1.13781061723559e-111
"ENSG00000233588",279.693495792804,-6.93320058810652,0.306162438937289,-22.6454969857574,1.54520358936442e-113,1.70100533664326e-111
"ENSG00000268034",1047.26843331496,-9.74901897860738,0.430824586318866,-22.6287433173367,2.25950941383068e-113,2.47525965737461e-111
"ENSG00000214558",280.732935377629,-5.87674087411093,0.259939647819198,-22.6080973926629,3.60757274934743e-113,3.93295141229582e-111
"ENSG00000171471",474.404515200149,-5.62567059092773,0.249236113932571,-22.5716510427126,8.23143836213162e-113,8.93071488068386e-111
"ENSG00000226784",283.848448175338,-7.57744132392245,0.336021910575159,-22.5504381870586,1.32962433021402e-112,1.43567618468611e-110
"ENSG00000233954",2675.89226963852,-9.71490865644932,0.431951554806355,-22.4907366308811,5.11435445050269e-112,5.49598270878544e-110
"ENSG00000259917",4427.93706726246,-9.34720610816299,0.416201526528509,-22.4583657492249,1.06016209462679e-111,1.13387099476032e-109
"ENSG00000267422",643.913219310156,-7.78550250356893,0.349936059429427,-22.2483573606654,1.16999893474558e-109,1.24544179058507e-107
"ENSG00000224837",517.679312492269,-8.29272505311307,0.372753209016708,-22.2472264557791,1.19987046338856e-109,1.27124303977886e-107
"ENSG00000171314",8255.8222384617,1.25291363151602,0.0568491659257743,22.0392614581523,1.21096436974741e-107,1.2770015388827e-105
