Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
S100a8	635.4150552889799	1.2169932770316454	0.11535773538412669	3.937716151092528e-27	1.4094951338726467e-24
Irs2	1208.6126964654743	1.0450705294517768	0.1031205591991656	1.5539738590019253e-26	5.4197826743959454e-24
Insig1	1037.609130872609	0.9835874204630268	0.0997849759645339	6.568465473044527e-26	2.2336066841087916e-23
Gsn	614.8203150402525	1.2887340967227248	0.1251570109666114	1.0085484289541177e-25	3.3459209099107097e-23
Rps6ka3	998.3652446928252	-1.510814171018516	0.14748766614876968	3.249769274088258e-25	1.0524609920511543e-22
S100a9	635.0726952861902	1.2676965593884852	0.12585045523038277	8.322421949829505e-25	2.6325949618972304e-22
Junb	20251.19142166727	0.6342594617675372	0.06579808561661546	9.082582080571445e-25	2.807756396816654e-22
3830406C13Rik	401.0428742397896	1.946737601892465	0.1928338205345417	9.330259044644966e-25	2.8202263005613516e-22
Serpina3g	10016.193443163083	-0.6784312766769177	0.07116115967602785	1.0082950394603636e-24	2.9363199847013733e-22
Ier2	16871.835550108248	0.6225805774145884	0.06448916216399278	1.0146084346490556e-24	2.9363199847013733e-22
Sik1	3282.887974987436	1.0003595612003664	0.10443115377691803	1.3977301129576895e-24	3.9608177075938523e-22
Nkx2-3	1516.9073683449676	1.165735288330553	0.1183415336498481	2.3801275741594206e-24	6.607039849738048e-22
Slc40a1	277.2622195139677	2.103657770506652	0.21107899705585192	2.4408275586856362e-24	6.640027290648405e-22
Ppp1r15a	9382.383015912052	0.6264052497242094	0.065675146597742	2.8799660669545273e-24	7.681038910336368e-22
Emilin2	614.2664180231944	-1.1925409109305811	0.12112262673760567	3.602175038193493e-24	9.422458628751518e-22
Chil3	347.6472534145168	1.655429489887392	0.16693728253040616	8.52961356249574e-24	2.188807778904626e-21
Slc4a1	190.913622837234	2.7346914855172018	0.28567993156514776	8.689576537336408e-24	2.188807778904626e-21
Ddx39	1945.730012567427	-0.6501506065373998	0.06987232754411919	1.5992491077175588e-23	3.955088429668043e-21
Apobec3	4007.3484777146396	-0.5748209219031627	0.06096711178557948	2.4937002938871548e-23	6.057019892402335e-21
C4b	285.75992318056603	-2.156711924272937	0.22278404491153814	3.583016986167457e-23	8.550210008043815e-21
Pim2	1828.0408003760804	-0.7515539880134475	0.08329093338329731	3.815307071046722e-23	8.947552893168536e-21
Ybx1	6593.590348215079	-0.5346990991675404	0.05647606460947822	3.895065208682581e-23	8.979775757372961e-21
Gem	953.9653135774132	1.1249900561434416	0.11882296264338577	4.7727741640352474e-23	1.0819879029867906e-20
Pbk	1784.7523391561097	-0.652121570052188	0.07210109555285603	1.7248336733838013e-22	3.8460963320272895e-20
Cenpv	414.4140360057392	-1.5286215913597716	0.1593370470916335	2.1147579047930516e-22	4.63950597112824e-20
S1pr1	1298.2860723809638	1.010053488424683	0.11303571835188167	6.551676237881581e-22	1.4145380982169088e-19
Car2	18733.81778107293	0.3929042349441271	0.04177082897012578	6.96730285820915e-22	1.4807695855837632e-19
Cyth4	1399.052491885643	0.9128166893245857	0.10465958852063251	7.790326003954487e-22	1.6302156047044452e-19
Axl	547.7720045288353	1.2194046045347138	0.13122911051685304	9.211500420502263e-22	1.8984064957526028e-19
Fosb	3334.5145825635414	-0.9011838669448482	0.10504538118427661	2.3565866870731365e-21	4.784222704114747e-19
Wwtr1	231.3076476336239	-4.125383208445568	0.47377120411987134	2.557784033480602e-21	5.116320356382816e-19
H2afz	13920.649581977665	-0.5479327747254785	0.06125227656760798	3.838835527819347e-21	7.567513166579529e-19
Ctsf	855.4803350753427	1.183322760186869	0.1321860117755584	1.242517645690869e-20	2.4143892880981714e-18
Plk2	1235.0800474662321	1.20202497316731	0.13421005426208552	1.5226208187452768e-20	2.9169983628976417e-18
Aqp1	247.11187098355524	1.7001021505521556	0.18658214961839595	1.8286267815002763e-20	3.454580761384272e-18
Fam110a	2064.7147218314535	0.947271121844163	0.11257022457848434	1.901591945521344e-20	3.543212827805661e-18
Plscr1	1495.7090160839002	-0.8604384177749183	0.10437277743478347	2.8925008342482957e-20	5.316729236141259e-18
Slc14a1	1304.8142382086714	0.7367112752210823	0.08941204436881112	4.6590007437580966e-20	8.449563748879685e-18
Set	11348.909433550729	-0.4097398285460764	0.04590483467889908	4.7920960694985445e-20	8.492134305029726e-18
Cbfa2t3	2292.7148838145367	0.9123211042301785	0.1106631420350892	4.8073396668672904e-20	8.492134305029726e-18
Fos	57874.90418964812	-0.4256915075082046	0.04857723860031032	1.6463628520598255e-19	2.871003527399711e-17
Ran	10379.00133134658	-0.5513403231130406	0.0650285506812182	2.1909274007766437e-19	3.7722777854891023e-17
Ngp	1216.8324939124216	1.4386446068254404	0.1630120467490599	2.2494869736730877e-19	3.824690226987667e-17
Atp5b	23009.174847924096	-0.419085479338167	0.048202592506853874	3.318712387373078e-19	5.572978505314642e-17
Abca4	314.9252780879288	-1.6202060799244231	0.18458950624950296	3.9156637106311656e-19	6.495226560000624e-17
Cct8	5839.54182432358	-0.5126256506057991	0.060561874939867553	5.260159265283162e-19	8.620323653780912e-17
Fscn1	309.208542855968	2.0281917409573818	0.23486605942317987	7.678686244909659e-19	1.2433986940864427e-16
Mamdc2	809.4858544631466	1.0017275965428933	0.12402199440055484	8.198007163497525e-19	1.311874040445804e-16
Stxbp4	1137.3653764044195	-1.0632390404766827	0.12945752678998554	8.595293814484026e-19	1.3594556565652525e-16
Cct5	7663.313100441382	-0.4249639887659535	0.04970104002079221	1.0708829391679786e-18	1.6742700848922809e-16
Clec1a	549.1616342227063	-1.9401365064339686	0.22718088546366785	2.1044772794570844e-18	3.2528522676335526e-16
Cxcl12	208.72188409640773	2.2568171710224907	0.2681404952635743	2.7020928458074644e-18	4.1296479650194534e-16
Sox4	4767.738827424612	0.6022304944272304	0.07487838157578336	2.9030890978845316e-18	4.3875353232694885e-16
Ifitm1	7002.603588960748	-0.7842788455345303	0.10319874900148929	5.5464139807035025e-18	8.290365161047148e-16
Apoe	5975.483009612219	0.7072093321104431	0.09264270166408779	9.951958138868468e-18	1.4713753761400968e-15
Gclm	2685.039566592866	-0.5636922664352934	0.07056289296351681	1.0093951649974918e-17	1.4763218316447185e-15
