baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000254893	2553.0940774794	-6.4551908619638	0.156603843032597	-41.2198751764998	0	0
ENSG00000267809	5188.29410630312	-10.0061094859625	0.251242168794826	-39.8265527397745	0	0
ENSG00000233927	5066.48625234199	5.03835575573139	0.134857546311334	37.3605770944384	1.70739767842732e-305	4.87732195051512e-303
ENSG00000122026	8257.11749568487	7.17901313204691	0.19235265124873	37.3221428737354	7.17917341134379e-305	2.02515507967244e-302
ENSG00000177954	14497.9450065767	7.55275360012618	0.204030810495733	37.0177111083139	5.9425823905711e-300	1.65563280009899e-297
ENSG00000179611	2349.05234232637	-7.9139426479297	0.21501405622719	-36.8066292352887	1.44629276988598e-296	3.98030352902644e-294
ENSG00000214784	1455.73272940488	-7.12428550252939	0.193678230745207	-36.7841314695906	3.31158837932489e-296	9.00392951279816e-294
ENSG00000182890	2046.91807976623	-8.77521550061884	0.238976922954075	-36.7199284020625	3.51198099041594e-295	9.43510416794244e-293
ENSG00000185641	4538.89862793569	-10.6516250317237	0.290419016605343	-36.6767478115884	1.71502211271958e-294	4.55328282561679e-292
ENSG00000228532	1115.31382169152	-7.19067962743115	0.196119062554661	-36.6648684414705	2.65216302452435e-294	6.95946081098152e-292
ENSG00000197728	4412.4910545921	5.18107829415004	0.14177508828307	36.5443489183759	2.19254487628568e-292	5.68725979576309e-290
ENSG00000235043	1440.64401755931	-6.41943550115447	0.177784223905381	-36.1080154365721	1.69772710871592e-285	4.35370541618093e-283
ENSG00000180581	1311.15848543222	-4.98072373440571	0.138116061030568	-36.0618721475366	8.98579625872668e-285	2.2784546536032e-282
ENSG00000198242	20312.1591165873	2.96230980958127	0.0823709135669078	35.963056390956	3.16392571932333e-283	7.93336796755219e-281
ENSG00000241741	1481.69171849881	-8.74806302646836	0.244166045983182	-35.8283355543666	3.99997815156507e-281	9.91950625784273e-279
ENSG00000164687	2413.42679458553	4.48918103186636	0.125627386967443	35.7340954089076	1.16856366290532e-279	2.86641045443309e-277
ENSG00000204253	5528.11781710673	-9.06071498493677	0.253897232746572	-35.6865448548655	6.39265929385709e-279	1.55121658370401e-276
ENSG00000168028	28956.9222321759	2.7179676526438	0.0764658179993707	35.5448712085467	9.97177880104612e-277	2.39396949152349e-274
ENSG00000196656	1938.95707473102	-5.54262810106119	0.156690203033244	-35.3731630552885	4.4169120883365e-274	1.04922584313147e-271
ENSG00000230207	1726.51980997583	-6.42260306573044	0.183103721674186	-35.0763108854706	1.5487820735768e-269	3.64076719316747e-267
ENSG00000220848	986.173638592202	-7.2977176899811	0.209512257486451	-34.8319366968448	7.99310374953218e-266	1.85959146717209e-263
ENSG00000163682	12737.0111817911	5.40421820702908	0.155258618236731	34.8078468583882	1.85056374250015e-265	4.26139509969396e-263
ENSG00000187653	6399.68574600469	-5.91143216426541	0.170858126781712	-34.5984839914453	2.66262438388924e-262	6.06943883547763e-260
ENSG00000234287	2800.26561733274	-10.4370863606452	0.304412293881902	-34.2860211969438	1.26790532035705e-257	2.86128193644975e-255
ENSG00000223612	1128.45759232529	-6.19281127157965	0.181104198627015	-34.1947415826276	2.8947281956658e-256	6.46785457342475e-254
ENSG00000233830	1895.01888160025	-8.22907486566476	0.241549036431429	-34.0679266919818	2.20293726331305e-254	4.87389070795937e-252
ENSG00000166164	2419.85999287674	1.91059479133884	0.0561201999958517	34.044689639026	4.86390185745482e-254	1.06566673026391e-251
ENSG00000269378	508.716451753727	-5.75630370760093	0.171886646522202	-33.4889523070509	6.98016763692269e-246	1.51462926021571e-243
ENSG00000197958	16025.6134058256	4.44456931841288	0.132739910743307	33.4832929563122	8.43805094994347e-246	1.81353805511785e-243
ENSG00000235636	534.751093605546	-6.21208616967081	0.186351676684995	-33.3352845554032	1.19038137472407e-243	2.53427702673567e-241
ENSG00000250568	2689.38439944351	-9.62642172806582	0.289175112040192	-33.2892469899964	5.52492058829264e-243	1.16524189641121e-240
ENSG00000226221	4404.87933102124	-11.1755788320581	0.340119497095617	-32.857801236006	8.81285413978914e-237	1.84147851270946e-234
ENSG00000177855	2224.4996766803	-9.7361329728106	0.297207666497218	-32.7586871750556	2.28374104839136e-235	4.72818204027961e-233
ENSG00000226054	644.205711872841	-6.47220927750616	0.199504824454004	-32.4413672462259	7.16944630050753e-231	1.4708444969414e-228
ENSG00000181524	4352.94731179007	-10.3973095284453	0.320877483231664	-32.4027395868684	2.5113501428767e-230	5.10573321390075e-228
ENSG00000234851	17693.2986102996	-5.50544377797598	0.169952030440008	-32.3941041699962	3.32297486605892e-230	6.69549766092426e-228
ENSG00000213178	7396.22164502407	-5.98151058699348	0.184722844523041	-32.3810008580037	5.08171316468817e-230	1.01485859280989e-227
ENSG00000184100	1075.20367320939	-7.76677858959323	0.239953148995028	-32.3678960752216	7.77032954375501e-230	1.53818444573613e-227
ENSG00000233966	1199.38130988987	-7.23481228275016	0.223821998072993	-32.3239553977654	3.2232341481208e-229	6.32510652353409e-227
ENSG00000127589	2725.54395688064	-9.45721672039513	0.293805168070728	-32.1887350807882	2.53732995901132e-227	4.9362004469835e-225
ENSG00000231500	42236.820972894	3.92482075993375	0.12206356862052	32.1539080357016	7.78831758118368e-227	1.50221335773139e-224
ENSG00000229117	24173.1738165537	3.71557142725789	0.118532925472568	31.3463234999442	1.09187132057045e-215	2.08815763485706e-213
ENSG00000260290	1242.24987974325	-8.55530013541573	0.273255907380798	-31.3087472377804	3.54756604262761e-215	6.72755654487205e-213
