baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol
ENSG00000188985	1149.59794155117	-1.15872112351966	0.224519163115867	1828.03334232827	0	0	DHFRP1
ENSG00000196262	81706.3703372866	0.187371528880021	0.0733646883544733	2125.03354641045	0	0	PPIA
ENSG00000196656	1938.95707473102	-0.387997476661003	0.23253712823222	2233.32017763376	0	0	AC004057.1
ENSG00000197728	4412.4910545921	0.562969899487033	0.136256081177893	6830.90063938163	0	0	RPS26
ENSG00000197744	5640.50618137686	0.0198347075924942	0.453930982294513	4903.11832481961	0	0	PTMAP2
ENSG00000197958	16025.6134058256	0.127322418254884	0.198323015009139	2572.782733452	0	0	RPL12
ENSG00000198225	1621.21381542309	0.30743291451689	0.283708663918596	3488.33988202647	0	0	FKBP1C
ENSG00000198242	20312.1591165873	-0.210642845420533	0.123771895927475	3219.29970122171	0	0	RPL23A
ENSG00000198406	2529.00346492342	0.525471602079503	0.174968753615962	3382.78393188629	0	0	BZW1P2
ENSG00000198618	29808.1456751113	0.12961771349907	0.104260288524669	8628.42604938962	0	0	PPIAP22
ENSG00000198830	20304.2863921412	-0.713741593855662	0.087753437483935	2362.79988587376	0	0	HMGN2
ENSG00000198918	9696.31298490894	-0.0221739234652187	0.142134475245168	4160.94726239874	0	0	RPL39
ENSG00000205105	589.871754979809	3.16918710376454	1.40398243741726	1561.39600381526	0	0	COX17P1
ENSG00000205246	16669.16520125	1.40720270749572	0.170746827005789	2055.77852356566	0	0	RPSAP58
ENSG00000212664	1896.34877632966	-0.224941578073578	0.261501156188402	6248.00789210628	0	0	RP11-592N21.1
ENSG00000213080	781.57358760575	-1.23504215542612	1.35302728704146	2920.52571402428	0	0	RP11-312J18.5
ENSG00000213144	466.002719377076	-1.15007603288876	1.13725253039122	2670.24553184186	0	0	RP11-64B16.2
ENSG00000213189	436.014977560761	1.03248095066508	0.479156881236231	2402.66737871774	0	0	BTF3L4P2
ENSG00000213222	450.570786270261	1.60437253918965	1.19713208927108	1669.77385221689	0	0	AC093724.2
ENSG00000213225	902.203817864704	0.306113247338727	1.56882435522003	2838.68223426027	0	0	AC018804.7
ENSG00000213236	550.248264439054	1.86513148455945	1.56388041082936	3286.24771140629	0	0	YWHAZP2
ENSG00000213261	1357.22452118001	-0.157260558681725	0.386478801829076	3633.07057495498	0	0	AC093106.7
ENSG00000213300	2755.08957130495	-0.761306841141679	0.248200089973063	2560.38597641837	0	0	HNRNPA3P6
ENSG00000213430	2744.61408687571	-2.07730832959599	0.667778383650758	5508.24422465551	0	0	HSPD1P1
ENSG00000213492	394.645342771029	2.79976104285663	1.57266349806439	1735.71063529336	0	0	NT5C3AP1
ENSG00000213553	32047.1626727054	0.146770723527268	0.247722937723763	2451.90502317469	0	0	RPLP0P6
