gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000260572,44.17709057333145,-0.01678319168617888,0.2941510392391237,-0.05705637392814155,0.9545002883385539,0.972696913779069
ENSG00000260576,0.39977605616766854,0.5182266981391969,3.6410875489651224,0.14232744782159615,0.8868213669883201,NA
ENSG00000260578,1.2833231177984765,0.1256277720302532,1.2815536000998593,0.09802771575099489,0.9219102853655635,0.953602668095736
ENSG00000260582,0.2508013732999567,-0.6980816356258025,3.0558535479814064,-0.2284408021081153,0.8193035723999881,NA
ENSG00000260583,5.643467937675761,1.575463647466982,0.7506524434017684,2.0987924056136773,0.03583520459611476,0.08569387115826234
ENSG00000260585,2.822863168011355,0.2659046173484623,0.7742267702373127,0.343445392965369,0.7312634152088737,0.8320955638192402
ENSG00000260588,0.9762193518707736,-0.09988042175499202,1.0845075535043038,-0.0920974883321508,0.9266205839934476,0.956304856492289
ENSG00000260589,11.852316655880388,0.08318651305377492,0.4425876285606741,0.1879548990655326,0.8509120063226816,0.9108368528368499
ENSG00000260591,0.8036095073597472,-0.8397055671993265,1.2743968411626536,-0.6589043067881815,0.5099572200858757,0.6639476481669624
ENSG00000260592,0.40438027979487773,0.5041384295322675,3.562815176701997,0.14150002302362902,0.8874749418554251,NA
ENSG00000260600,0.2924473868741825,-0.9824888732859446,2.9433418929280144,-0.3338004584674912,0.7385301374422744,NA
ENSG00000260602,1.288710854823809,2.6637842180588778,1.3672337159962757,1.9483020253913441,0.05137883495749371,0.11526654423757435
ENSG00000260604,0.1774491916055624,0.2068854214333849,3.9439993411151053,0.052455744420812,0.9581655575914254,NA
ENSG00000260611,13.48882646426868,-0.34397022548396805,0.5580246048979504,-0.6164069155102437,0.5376259902711179,0.6870804008995556
ENSG00000260613,1.0262724583089313,2.167044615648067,1.399453226927751,1.5484937788206221,0.12150345840318702,0.2308248628491221
ENSG00000260619,0.9349248445623646,-0.28356294358017614,1.2992691500643578,-0.2182480385731703,0.8272358577182669,0.8957495423097546
ENSG00000260625,2.9021933735093013,-0.04557712311041008,0.6923539459375949,-0.06582922416754473,0.9475137891717816,0.9685877731581625
ENSG00000260628,1.35242889055161,4.030641369966918,1.3240295513719234,3.0442231185780386,0.00233282056857809,0.008135490924293273
ENSG00000260629,1.9924430846449286,-0.63307843213628,1.056834349370495,-0.5990327930894507,0.5491510167499634,0.6966535397780331
ENSG00000260630,71.36445658302557,-0.24143510315955263,0.28517012348408827,-0.8466353354615147,0.3971984120365436,0.5612582367656241
ENSG00000260634,0.1616511867893934,-0.21718633842048635,3.950877008559825,-0.05497167792111433,0.9561610274081355,NA
ENSG00000260641,9.314105556807046,0.060574530164146434,0.5071069184077096,0.11945120045758285,0.9049178995303259,0.9430757218900083
ENSG00000260643,4.175500160099749,3.7662750585271705,0.9784112155680114,3.84937846030381,1.1841792321504859e-4,5.578992219611694e-4
ENSG00000260645,3.885021605622797,0.029491428303579925,0.5887232032383101,0.05009387797416581,0.9600475782839927,0.9761824681956773
ENSG00000260646,0.819386251724149,-0.7929932292162178,1.2854521468610258,-0.6168982883980906,0.5373018158490517,0.6867468022301148
ENSG00000260647,0.7851788084521497,0.19224944127065302,1.3012548983811487,0.1477415697030802,0.8825467237301013,0.930022503591744
ENSG00000260648,1.001880616119183,0.06445369359461564,1.2553283224716767,0.05134409256991003,0.9590513336271507,0.9755650865884116
ENSG00000260651,0.45213698467002317,1.563919087382891,2.0530829455263997,0.7617417945975438,0.4462141255311953,NA
ENSG00000260655,31.127886172041862,-0.115164430411558,0.42083474617717576,-0.27365713372695843,0.7843481229038503,0.8685173743656128
ENSG00000260658,1.2966310496778755,-1.3001420760226035,1.4609435611965358,-0.8899331298998071,0.37350179336432354,0.5384725111608841
ENSG00000260668,46.101056536116815,-9.036674130352852,0.8484698042679664,-10.650554780967623,1.7332897123408828e-26,4.174508958206692e-25
ENSG00000260669,29.3371790001095,-0.8246129522812684,0.23997476932688197,-3.4362485464378993,5.89829593907232e-4,0.002376059344110051
ENSG00000260672,0.2620443781632814,-1.8054833303095332,3.7704272666019567,-0.47885377508865173,0.6320426575896915,NA
ENSG00000260682,211.23850304611582,-0.25753718426794414,0.27241739492206113,-0.9453771641184139,0.3444663563540787,0.5085086847545296
ENSG00000260685,0.08815874392903533,-1.202213760801646,3.939549365160915,-0.30516529921755164,0.760240259840077,NA
ENSG00000260686,24.9279981168814,1.0964059225009217,0.33867188878281934,3.237369143454406,0.0012063725158003129,0.004520041269145884
ENSG00000260690,0.08815874392903533,-1.202213760801646,3.939549365160915,-0.30516529921755164,0.760240259840077,NA
ENSG00000260693,0.37682780422722834,2.484324052828152,3.5650855526676026,0.6968483690298084,0.4858976921980721,NA
ENSG00000260698,9.095146133816595,-1.026595108690666,0.6209724807271978,-1.653205481003697,0.0982890513791401,0.19497969606830648
ENSG00000260708,116.99508907561301,-0.3085561995339493,0.17062507779654923,-1.808387158081575,0.07054626520986337,0.1494150696378214
ENSG00000260714,0.9218830606306591,0.46267586283804535,1.3400672230683222,0.3452631740209769,0.7298965292269237,0.8313938509521496
ENSG00000260719,0.22380729920541842,-0.25993541007585014,3.090021083759825,-0.08412091795812934,0.9329602934630732,NA
ENSG00000260725,115.2596883301126,-1.8031326029814372,0.47286811877345647,-3.813182854573643,1.3718853507959646e-4,6.371544908708075e-4
ENSG00000260727,18.735823221879777,-0.3440766506556845,0.3478620791828979,-0.989118019026089,0.32260540250776776,0.4850257240768018
ENSG00000260729,6.870831843047921,1.9581337332396223,0.6498291481910472,3.013305479895061,0.0025841864797642843,0.008915660646512858
ENSG00000260735,8.512152668510975,0.9888281899789357,0.5397302912098874,1.8320783659600193,0.06693974602245469,0.14311977721352298
