Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
Cenpv	414.4140360057392	-1.5286215917959913	0.15933704930623152	2.1147578651195615e-22	4.6395058840897216e-20
S1pr1	1298.2860723809638	1.0100534837748931	0.1130357176860762	6.551676129272072e-22	1.4145380747675988e-19
Car2	18733.81778107293	0.3929042349466485	0.041770828967590816	6.9673024257112255e-22	1.480769493664439e-19
Cyth4	1399.052491885643	0.9128166869788168	0.10465958727996506	7.790325838840309e-22	1.6302155701523982e-19
Axl	547.7720045288353	1.219404598857254	0.1312291115516221	9.211500176064176e-22	1.8984064453761353e-19
Fosb	3334.5145825635414	-0.9011838648593855	0.10504537989875092	2.3565866725886045e-21	4.784222674708985e-19
Wwtr1	231.3076476336239	-4.125382981494452	0.4737712066769533	2.5577840246112013e-21	5.116320338641405e-19
H2afz	13920.649581977665	-0.5479327753993034	0.06125227671515159	3.8388354323059304e-21	7.567512978293517e-19
Ctsf	855.4803350753427	1.1833227539631257	0.13218601263028457	1.2425176222643571e-20	2.4143892425771123e-18
Plk2	1235.0800474662321	1.2020249670064576	0.13421005528431254	1.5226208062421448e-20	2.916998338944458e-18
Aqp1	247.11187098355524	1.700102157042558	0.18658215254929383	1.828626744008584e-20	3.4545806905562164e-18
Fam110a	2064.7147218314535	0.9472711183613235	0.11257022336550473	1.901591928872509e-20	3.543212796784092e-18
Plscr1	1495.7090160839002	-0.8604384167700992	0.10437277605306061	2.892500781852775e-20	5.3167291398326275e-18
Slc14a1	1304.8142382086714	0.7367112767284293	0.08941204382097806	4.659000595099314e-20	8.449563479272116e-18
Set	11348.909433550729	-0.40973982857608177	0.045904834691190666	4.7920958302260535e-20	8.492134243699e-18
Cbfa2t3	2292.7148838145367	0.9123211016761498	0.1106631406415666	4.807339632148383e-20	8.492134243699e-18
Fos	57874.90418964812	-0.4256915075706755	0.048577238633152664	1.6463627958227152e-19	2.8710034293308426e-17
Ran	10379.00133134658	-0.5513403238885719	0.06502855085764055	2.19092735707088e-19	3.772277710237735e-17
Ngp	1216.8324939124216	1.438644604532745	0.16301204928186355	2.2494869869673666e-19	3.8246902495912655e-17
Atp5b	23009.174847924096	-0.4190854793869103	0.04820259253417178	3.3187122655430877e-19	5.572978300730503e-17
Abca4	314.9252780879288	-1.6202060836634484	0.1845895093777167	3.9156636504836854e-19	6.495226460229157e-17
Cct8	5839.54182432358	-0.5126256510897924	0.060561875074250156	5.260159114130515e-19	8.620323406072682e-17
Fscn1	309.208542855968	2.0281917636282505	0.23486606283827124	7.67868616172618e-19	1.2433986806166607e-16
Mamdc2	809.4858544631466	1.0017275913599124	0.12402199343160228	8.198006983495979e-19	1.3118740116413214e-16
Stxbp4	1137.3653764044195	-1.0632390341533502	0.12945752649940273	8.595293745280596e-19	1.359455645619845e-16
Cct5	7663.313100441382	-0.42496398883492126	0.049701040050641396	1.0708828938101415e-18	1.6742700139776488e-16
Clec1a	549.1616342227063	-1.9401365251029983	0.22718088918974122	2.1044772816526827e-18	3.252852271027249e-16
Cxcl12	208.72188409640773	2.2568172058938862	0.26814049746293805	2.7020928421243776e-18	4.129647959390538e-16
Sox4	4767.738827424612	0.6022304957588016	0.07487838176658372	2.903089049499506e-18	4.3875352501435864e-16
Ifitm1	7002.603588960748	-0.78427884639555	0.103198747894023	5.5464139644074265e-18	8.290365136688991e-16
Apoe	5975.483009612219	0.707209333955897	0.09264270131064654	9.951958077758581e-18	1.471375367105133e-15
Gclm	2685.039566592866	-0.5636922674307264	0.07056289316863966	1.0093951377881941e-17	1.4763217918489264e-15
Ppbp	57.44798101120145	4.27810689323001	0.550106185564086	1.0550595490812534e-17	1.526693615596086e-15
Alas2	221.66365252486816	1.791186697029079	0.2140512469729011	1.1555456164652698e-17	1.6544980500169054e-15
Erdr1	132.43068960633659	-2.2506580399867224	0.273386130241096	1.2924648625040561e-17	1.8312611520604344e-15
Npm1	7132.268482757062	-0.5045912507649161	0.062413150947786926	1.4657430069656437e-17	2.0553645753347096e-15
Lrrc59	4654.8467779654875	-0.44806284727372825	0.05472214482690998	1.633959554168186e-17	2.2678691689587415e-15
Camp	337.728994831464	1.6035606164124574	0.19294508876727795	2.1403096983115643e-17	2.940655809740798e-15
Pf4	221.086619046753	1.7650111085508082	0.2128339055392949	2.2403630246615074e-17	3.0473417861445827e-15
Itgb5	156.89019445161944	2.207486879840709	0.2712522623662989	3.22814315964078e-17	4.347445867072663e-15
Bmpr1a	127.77865730414081	-3.9828192913113263	0.5326507301079849	4.109655817167656e-17	5.480346904422986e-15
Sqle	1197.3632102189376	0.7162114150653656	0.09656627845488605	4.659216825501255e-17	6.152880316550298e-15
Prdx1	8012.15337802002	-0.579779764620395	0.07530297834254829	7.212354491196035e-17	9.43292747973543e-15
Col16a1	1951.7478835159611	-0.7183630569972137	0.09843957882274271	1.1174186903824583e-16	1.4475360977697332e-14
Aldoc	510.00770127220915	1.3095644692117705	0.16375667550135473	1.1923469708919184e-16	1.530028631893573e-14
Pgam1	5331.365040669285	-0.4146357435688071	0.05188859105579098	1.335664077083707e-16	1.6979161473357555e-14
Clca3a1	270.76317200359085	-2.0700737791936956	0.2585227718184041	1.3620872302994434e-16	1.7154731950493546e-14
Tcp11l2	1207.2140980148847	0.8760185335514292	0.1219367780620099	1.4955914698880092e-16	1.8663335021483212e-14
Zfp36l2	23984.999971351914	0.4193157722984377	0.05273156595210339	1.7151059175584701e-16	2.1208064264209375e-14
Obsl1	1179.104985254516	0.9561184455035573	0.1315319992280185	1.9707897797132043e-16	2.415016448978289e-14
Clnk	207.80947773120266	-1.7185431451960944	0.213954532255631	1.9944039221110254e-16	2.4221323346923363e-14
Ltf	598.4161038447996	1.3231152434743558	0.16820285900153847	3.5880290290377777e-16	4.318970871944412e-14
Arid5a	685.2230683082424	-0.882861219220537	0.12617263668880843	6.240797803751602e-16	7.446257169002569e-14
Tns1	1336.9383481559896	0.7813616508083497	0.11236425036027553	7.539990877687889e-16	8.9181700798531e-14
Shisa8	840.7664880032042	0.8690377914700286	0.12527252514018955	8.768435710695754e-16	1.0281746770421004e-13
Ybx3	6580.779049581746	-0.5079560122752942	0.06723982691996394	9.165131513201266e-16	1.0655052892526806e-13
Srebf2	4730.458407409259	0.6163962802724621	0.084884496413683	9.383562828081019e-16	1.0816544202335425e-13
Asns	717.0180066317348	-0.9719783058212323	0.13742423286873323	1.0371698806065254e-15	1.1855113206731057e-13
Nupr1	246.13799061011272	-2.092483986225899	0.2705938347479798	1.1391020832535451e-15	1.2911722113678934e-13
Ctse	385.89468053627076	1.2445322528530562	0.16330627660074454	1.1492392981692726e-15	1.2918969366692931e-13
